id,category,title,body,points,extras,systemWhenCreated,systemWhoCreated
59,regex,How to replace list markers in Notepad++,"- you have this list in Notepad++
	---------------------------
	1: jeden
	2: dwa
	3 – trzy
	4 – cztery
	5 – pięć
	6 – sześć
	7 – siedem
	8 – osiem
	9 – dziewięć
	10 – dziesięć
	11 – jedenaście
	12 – dwanaście
	13 – trzynaście
	14 – czternaście
	15 – piętnaście
	16 – szesnaście
	17 – siedemnaście
	18 – osiemnaście
	19 – dziewiętnaście
	20 – dwadzieścia
	30 – trzydzieści
	40 – czterdzieści
	50 – pięćdziesiąt
	60 – sześćdziesiąt
	70 – siedemdziesiąt
	80 – osiemdziesiąt
	90 – dziewięćdziesiąt
	100 – sto	
	---------------------------
- and you want to change it to:
	---------------------------
	Number 1: jeden
	Number 2: dwa
	Number 3: trzy
	Number 4: cztery
	Number 5: pięć
	Number 6: sześć
	Number 7: siedem
	Number 8: osiem
	Number 9: dziewięć
	Number 10: dziesięć
	Number 11: jedenaście
	Number 12: dwanaście
	Number 13: trzynaście
	Number 14: czternaście
	Number 15: piętnaście
	Number 16: szesnaście
	Number 17: siedemnaście
	Number 18: osiemnaście
	Number 19: dziewiętnaście
	Number 20: dwadzieścia
	Number 30: trzydzieści
	Number 40: czterdzieści
	Number 50: pięćdziesiąt
	Number 60: sześćdziesiąt
	Number 70: siedemdziesiąt
	Number 80: osiemdziesiąt
	Number 90: dziewięćdziesiąt
	Number 100: sto		
	---------------------------
- search for `^(\d*)\s.\s`
- replace with `Number $1:`",50,,2019-11-29 15:10:59,systemUnknown
60,linux,How to copy a file with a date/time stamp,"- `cp testing testing_backup_(BACKTICK)date +%Y-%m-%d--%H-%M-%S(BACKTICK)`
- replace `(BACKTICK)` with a backtick:##withthebacktickhere",5,$rank=4.5,2019-12-02 16:59:12,systemUnknown
61,Git,"How to create, use, merge and delete a branch locally","- create new branch, [naming conventions](http://blog.avinoth.com/2019/05/28/git-branch-naming-convention.html)
	- `git checkout -b et/feat/outline-date`
- view current branches
	- `git branch`
- (make changes)
- commit changes
	- `git commit -am ""outline change""`
- switch back to master
	- `git checkout master`
- merge feature branch into master
	- `git merge et/feat/outline-date --no-ff`
- delete empty feature branch
	- `git branch -d et/feat/outline-date`
- then push your changes to remote
	- `git push`",50,,2019-12-03 11:57:31,systemUnknown
62,windows,How to set Windows Explorer to show drives when it opens,"- open Windows Explorer
- in header area, click **View** (Ansicht)
- on the right, click **Options**
- choose: **change folder and search options**
- change to: **This PC**",5,$rank=3.8,2019-12-04 10:05:48,systemUnknown
63,ubuntu,Install Ubuntu in VirtualBox,- use [this foray](forays?openItemIds=46&id=46) and create HowTo as you go,100,$rank=3.8,2019-12-06 15:09:55,systemUnknown
64,Regex,Find '##' followed by a variable at end of line,"- You want to find all ""##"" which have a variable code at the end
	- but not ""##"" at the end
	- and not if it has spaces or any other character in it
- e.g. find the first four but not the others
	--------------------
	sdjfk sjkf skdfj sdkf##ksjf2ksdjf
	sfjsdfsdlf##kdjfdkfjd
	ksdjfsdkfjsdkf##kdf
	##sdkfsdkfasd
	askdfjsfkjsdlkfj##
	asdfksdjfsdfkjsdf##sdjfksdfj.sdfjkdfjdf
	ksdjfsdkfjsdkf#kdf
	dkfjfiejfiefjefij## sdkfjs dfksjd f
	--------------------
- use this:
	- `##([a-zA-Z1-9])+$`",20,$rank=4.5,2019-12-11 12:50:14,systemUnknown
65,Regex,Create regex to find uppercase code with underlines,"- you want to identify if a user has put a code on a line to identify a header
- the code has to have the following characteristics
	- it is alone on the line
	- it is all uppercase
	- underlines are allowed
- e.g. only the last two items should pass:
	------------------
	this is not ok
	Not_this
	also_not
	THIS_IS not ok
	THIS_IS_OK
	THISTOO		
	------------------
- use this regex: `^[A-Z_]*$`",10,$rank=0.5,2019-12-12 13:11:14,systemUnknown
66,dpod,"How to get nodemon working on ""command not found"" error","- `npm install nodemon --save-dev`
- `node_modules/.bin/nodemon server.js`",30,,2019-12-25 23:13:32,systemUnknown
67,JavaScript,How to simulate a method that takes two seconds to execute,"- use `Date.now()`: 
	---------------------------
	function getUserDetails_sync() {
		const timeout = Date.now() + 2000;
		while (Date.now() < timeout) { }
		return ""test data"";
	}
	---------------------------",20,,2020-04-18 20:52:09,systemUnknown
68,JavaScript,Example to show synchronous and asynchronous calls,"- use `callback`:
	------------------------
	console.log(""getting data..."");

	function doSomething_sync() {
		let data = getUserDetails_sync();
		console.log(data);
		console.log(""thread available again"");
	}

	function getUserDetails_sync() {
		const timeout = Date.now() + 2000;
		while (Date.now() < timeout) {}
		return ""sync data"";
	}

	function doSomething_async() {
		getUserDetails_async((data) => console.log(data));
		console.log(""thread available again"");
	}

	function getUserDetails_async(callback) {
		setTimeout(() => callback(""async data""), 2000);
	}

	doSomething_sync();
	//doSomething_async();
	------------------------",50,,2020-04-18 21:16:53,systemUnknown
69,JavaScript,Asynchronous JavaScript joke,"- use `callback`:
	-------------------------
	tellJoke();

	function tellJoke() {
		askQuestion((data) => console.log(data));
		tellPunchLine();
	}
	function askQuestion(callback) {
		setTimeout(() => callback(""Did you hear the one about the JavaScript function that walks into a bar?""), 3000);
	}

	function tellPunchLine() {
		console.log(""It sits at the bar and orders a callback."");
	}
	-------------------------",30,$rank=4.9,2020-04-18 21:43:14,systemUnknown
70,node,How to use .emit() and .on() for events,"- `eventTest.js`
------------------------------
const emitter = require(""./events/eventEmitter"");

emitter.timer.on(""closing"", () => console.log(""now the book is about to be closed""));
emitter.timer.on(""reading"", () => console.log(""ok, it is reading now""));

emitter.launchTimer();
------------------------------
- `eventEmitter.js`
-------------------------------
const EventEmitter = require(""events"");

timer = new EventEmitter();

exports.launchTimer = function () {
setTimeout(() => timer.emit(""opening""), 1000);
setTimeout(() => timer.emit(""reading""), 2000);
setTimeout(() => timer.emit(""closing""), 3000);
};

exports.timer = timer;
-------------------------------",90,,2020-04-21 21:47:21,systemUnknown
71,vue.js,How to set up a simple Vue.js page,"- create directory `vuetest`
- go there with VSCode
- open terminal
- `npm i -g vue-cli`
- terminal: `vue init simple .`
- open with Live Server",50,,2020-04-21 23:07:37,systemUnknown
72,node,Basics of a command line program,"- use Node's stdin:
	----------------------------
	process.stdin.setEncoding(""utf8"");
	process.stdin.on(""data"", evaluate);
	process.stdin.on(""pause"", () => console.log('Terminated.'));

	function evaluate(rawInput) {
		const command = rawInput.trim();
		switch (command) {
			case ""help"":
				console.log(`
	help - get this list
	list - show all items
	exit - leaves program
	`);
				break;
			case ""list"":
				console.log(`
	pageItems
	users
	itemTypes
	`);
				break;
			case ""exit"":
				process.stdin.pause();
				break;
			default:
				console.log(`unknown command, type ""help"" for a list of commands`);
				break;
		}
	}
	----------------------------",100,,2020-05-02 10:20:29,systemUnknown
73,windows,How to set up Git Bash in Hyper terminal,"- download **and** install Hyper: https://hyper.is
- copy this text: https://gist.github.com/coco-napky/404220405435b3d0373e37ec43e54a23
- paste in Edit | Preferences (or [[CTRL-,]])",30,,2020-05-04 10:37:19,systemUnknown
74,Bootstrap,Basic Bootstrap/React Form,"- HTML
	-------------------
	<div className=""card mt-3"">
		<div className=""apt-addheading card-header bg-primary text-white"">Termin hinzufügen</div>
		<div className=""card-body"">

			<form id=""aptForm"" noValidate>

				<div className=""form-group form-row"">
					<label
						className=""col-md-2 col-form-label text-md-right""
						htmlFor=""petName""
						readOnly
					>Tiername</label>
					<div className=""col-md-10"">
						<input
							type=""text""
							className=""form-control""
							name=""petName""
							placeholder=""Tiername""
						/>
					</div>
				</div>

				<div className=""form-group form-row"">
					<label
						className=""col-md-2 col-form-label text-md-right""
						htmlFor=""ownerName""
					>Besitzer</label>
					<div className=""col-md-10"">
						<input
							type=""text""
							className=""form-control""
							name=""ownerName""
							placeholder=""Name des Besitzers""
						/>
					</div>
				</div>

				<div className=""form-group form-row"">
					<label
						className=""col-md-2 col-form-label text-md-right""
						htmlFor=""aptDate""
					>Datum</label>
					<div className=""col-md-4"">
						<input
							type=""date""
							className=""form-control""
							name=""aptDate""
							id=""aptDate""
						/>
					</div>
					<label
						className=""col-md-2 col-form-label text-md-right""
						htmlFor=""aptTime""
					>Uhrzeit</label>
					<div className=""col-md-4"">
						<input
							type=""time""
							className=""form-control""
							name=""aptTime""
							id=""aptTime""
						/>
					</div>
				</div>

				<div className=""form-group form-row"">
					<label className=""col-md-2 text-md-right"" htmlFor=""aptNotes"">Anmerkungen</label>
					<div className=""col-md-10"">
						<textarea
							className=""form-control""
							rows=""4""
							cols=""50""
							name=""aptNotes""
							id=""aptNotes""
							placeholder=""Anmerkungen""
						/>
					</div>
				</div>

				<div className=""form-group form-row mb-0"">
					<div className=""offset-md-2 col-md-10"">
						<button
							type=""submit""
							className=""btn btn-primary d-block ml-auto""
						>Termin hinzufügen</button>
					</div>
				</div>

			</form>
		</div>
	</div>
	-------------------
- CSS:
	---------------------
	.apt-addheading {
		cursor: pointer;
		user-select: none;
	}
	--------------------",50,,2020-05-12 19:31:05,systemUnknown
75,bootstrap,Responsive dark navbar,"- HTML
	----------------
	<header class=""navbar navbar-expand-md navbar-dark bg-dark"">
		<ul class=""navbar-nav"">
			<li class=""nav-item"">
				<a href=""#"" class=""nav-link active"">Welcome</a>
			</li>
			<li class=""nav-item"">
				<a href=""#"" class=""nav-link"">Create Item</a>
			</li>
			<li class=""nav-item"">
				<a href=""#"" class=""nav-link"">Create Page</a>
			</li>
			<li class=""nav-item"">
				<a href=""#"" class=""nav-link disabled"">About</a>
			</li>
		</ul>
	</header>
	----------------",20,,2020-05-12 21:50:22,systemUnknown
76,bootstrap,Unresponsive dark navbar,"- HTML
	----------------
	<nav class=""navbar navbar-expand navbar-dark bg-dark"">
		<ul class=""navbar-nav"">
			<li class=""nav-item"">
				<NavLink to=""/all"" className=""nav-link""><GiStack /> All</NavLink>
			</li>
			<li class=""nav-item"">
				<NavLink to=""/git"" className=""nav-link""><GiStack /> Git</NavLink>
			</li>
			<li class=""nav-item"">
				<NavLink to=""/gimp"" className=""nav-link""><GiStack /> Gimp</NavLink>
			</li>
			<li class=""nav-item"">
				<NavLink to=""/linux"" className=""nav-link""><GiStack /> Linux</NavLink>
			</li>
		</ul>
	</nav>
	----------------
- It won't break on mobile devices: ##theunresponheader",20,,2020-05-12 22:38:49,systemUnknown
77,bootstrap,"Responsive, collapsable navbar with graphic","- collapsable menu on smartphones:##responsenavbarimage
- HTML
	----------------------
	<header class=""navbar navbar-expand-md navbar-dark bg-dark"">
		<div class=""navbar-brand"">
			<img src=""logo.png"" alt="""">
		</div>
		<button class=""navbar-toggler"" data-toggle=""collapse"" data-target=""#navbar-content"">
			<span class=""navbar-toggler-icon""></span>
		</button>
		<div class=""collapse navbar-collapse"" id=""navbar-content"">
			<nav>
				<ul class=""navbar-nav mr-auto"">
					<li class=""nav-item"">
						<a href=""#"" class=""nav-link active"">Welcome</a>
					</li>
					<li class=""nav-item"">
						<a href=""#"" class=""nav-link"">Create Item</a>
					</li>
					<li class=""nav-item"">
						<a href=""#"" class=""nav-link"">Create Page</a>
					</li>
					<li class=""nav-item"">
						<a href=""#"" class=""nav-link disabled"">About</a>
					</li>
				</ul>
			</nav>
		</div>
	</header>
	----------------------
- see [code at GitHub](https://github.com/edwardtanguay/bootstrap4/tree/58d8f2bee10981c90051b2f3aa68fc8087329f03/navBarResponsiveWithGraphic)",100,,2020-05-16 12:42:17,systemUnknown
79,CSS,Three-Screen Responsive Layout with grid-container and @media screen,"- three screens:##threeresponsivescreens
- HTML:
	------------------------
	<section class=""grid-container"">
		<header>
			<h1>Lorem ipsum dolor sit.</h1>
		</header>
		<main>
			<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit. Ex, maxime enim alias, illum blanditiis, amet
				eaque id illo accusantium eius nisi facere rerum? Beatae atque, tempora explicabo repellendus reiciendis
				consequuntur.</p>
			<p>Quis, porro praesentium pariatur corporis impedit assumenda eum vero quos blanditiis voluptate recusandae
				odio natus illum similique dolorem optio vitae doloribus mollitia voluptatibus consequuntur nesciunt
				perferendis aliquid, et nisi. Id.</p>
			<p>Atque ipsum, eos, excepturi optio dolore aliquid error placeat nemo magni, natus fuga! Molestiae modi
				assumenda sequi ullam velit perferendis eligendi, alias esse recusandae doloribus aut molestias nihil
				est reprehenderit?</p>
			<p>Eveniet, cupiditate repudiandae molestiae quos. Laboriosam magni, ullam tempore vitae repellendus
				temporibus possimus. Dolorum corrupti voluptatum, repellat cum praesentium facilis soluta quis porro
				aliquid itaque perferendis, nostrum libero fuga eaque?</p>
		</main>
		<aside>
			Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolorem, labore dolorum, fuga explicabo, placeat
			aliquid facere nesciunt illo animi neque dolores voluptatibus reprehenderit doloribus tenetur amet facilis
			sit quidem corrupti.
		</aside>
		<footer>Lorem ipsum dolor sit amet, consectetur.</footer>
	</section>
	------------------------
- CSS:
	-----------------------
	body {
		background: #dedede;
		padding: 10px;
	}

	header {
		background: #7c9aea;
		border: 2px solid #1d42a7;
		padding: 10px;
	}

	main {
		background: #81ce8a;
		border: 2px solid #2f7136;
		padding: 10px;
	}

	aside {
		background: #e88585;
		border: 2px solid #a22424;
		padding: 10px;
	}

	footer {
		background: #eb8fe8;
		border: 2px solid #8d1f89;
		padding: 10px;
	}

	.grid-container {
		display: grid;
		grid-gap: 20px;
	}

	@media screen and (min-width: 768px) {
		.grid-container {
			grid-template-columns: 1fr 200px;
		}

		header,
		footer {
			grid-column: 1 / 3;
		}
	}

	@media screen and (min-width: 1024px) {
		.grid-container {
			grid-template-columns: 1fr 400px;
			grid-template-rows: auto repeat(2, 1fr);
		}

		main {
			grid-row: 2 / 4;
		}

		footer {
			grid-column: 2 / 3;
		}
	}
	-----------------------
- full code at [GitHub](https://github.com/edwardtanguay/cssgrid4/tree/45e10821f718217daa54cf96a03ed883ac99f482/threeScreenResponsive)",100,,2020-05-17 12:11:36,systemUnknown
80,JavaScript,How to define multiple variables from an array or JavaScript object,"- this is useful when sending data back from functions, e.g. return an array or JavaScript object, note that one can even return a function
	--------------------
	console.log(`${name}: ""${quote}""`);

	const { username, text, buildQuote } = { username: 'Julian the Apostate', text: 'You have won, O Galilean.', buildQuote: (a,b) => { return `It was ${a} who said, ""${b}""`;} };
	console.log(`${username}: ""${text}""`);
	console.log(buildQuote(username, text));
	--------------------",20,,2020-05-18 20:27:23,systemUnknown
81,Node,Make a 10-line web server,"- `npm i http-server`
- server.js:
	-------------------------
	const http = require('http');
	const port = 3001;

	http.createServer(function (request, repuesto) {
		repuesto.writeHead(200, { 'Content-Type': 'text/plain' });
		repuesto.write(""Hello."");
		repuesto.end();
	}).listen(port, 'localhost');

	console.log(`listing at http://localhost:${port}`);
	-------------------------",40,,2020-05-27 00:08:26,systemUnknown
82,ES6,ES6 function syntax,"- these are seven ways you can write functions in ES6:
	-----------------------------------
	function countIt(items) {
		return items.length;
	}

	const countIt2 = function (items) {
		return items.length + 1;
	}

	const countIt3 = (items) => {
		return total = items.length + 2;
	};

	const countIt4 = (items) => items.length + 3;

	const countIt5 = items => items.length + 4;

	const sayHello = () => ""hello"";

	const getAuthor = () => ({
		firstName: ""Maruice"",
		lastName: ""Merleau-Ponty""
	});

	const numbers = [1, 2, 3, 4, 5];

	console.log(countIt(numbers));
	console.log(countIt2(numbers));
	console.log(countIt3(numbers));
	console.log(countIt4(numbers));
	console.log(countIt5(numbers));
	console.log(sayHello());
	console.log(getAuthor());
	-----------------------------------",50,,2020-06-05 16:52:47,systemUnknown
83,ES6,Syntax to mock functions e.g. for testing,"- the code:
	---------------------------
	// simple example
	const status = ""short""; // ""short"" or ""long""
	const displayInfo = status == ""short""
		? name => console.log(`Hello, ${name}.`)
		: name => console.log(`We welcome you, ${name}.`)
	displayInfo(""Pierre-Simon"");

	//realistic example
	const DEVELOPMENT = true;
	const fetchDataReal = () => {
		// time-intensive operations 
	};
	const fetchDataTest = () => ({
		name: 'Gideon Mantall',
		birthYear: 1790
	});
	const fetchData = DEVELOPMENT
		? fetchDataTest
		: fetchDataReal;
	---------------------------",30,,2020-06-05 17:29:22,systemUnknown
84,JavaScript,Use arrays of functions,"- this example shows a number of tasks that you run on a number:
	------------------------------
	const add = (x, y) => x + y;
	const subtract = (x, y) => x - y;
	const multiply = (x, y) => x * y;
	const divide = (x, y) => x / y;

	const tasks = [add, subtract, multiply, divide];

	tasks.forEach(f => console.log(f(3, 5)));
	------------------------------",25,,2020-06-08 13:04:25,systemUnknown
85,JavaScript,Send functions as parameters,"- note you can send not only predefiend custom but system and on-the-fly functions
	-----------------------------
	const add = (x, y) => x + y;
	const subtract = (x, y) => x - y;

	const process = (x, y, func) => func(x, y);

	console.log(process(5, 4, add));
	console.log(process(5, 4, subtract));
	console.log(process(5, 4, Math.max));
	console.log(process(5, 4, Math.min));
	console.log(process(5, 4, (x, y) => x * y));
	-----------------------------",30,,2020-06-08 13:46:17,systemUnknown
86,JavaScript,Return functions from functions,"- this is known as a function factory:
	----------------
	const createMultiplier = y => x => x * y;

	const doubleIt = createMultiplier(2);
	const tripleIt = createMultiplier(3);
	const quadrupleIt = createMultiplier(4);

	console.log(doubleIt(5));
	console.log(tripleIt(5));
	console.log(quadrupleIt(5));
	----------------",35,,2020-06-08 14:10:38,systemUnknown
87,JavaScript,Simple example of closure,"- notes that the value is still inside the function even after it has been passed:
	-----------------
	const createFunction = () => {
		const x = 5;
		return () => console.log(`the value is ${x}`); 
	};

	const func = createFunction();

	func();
	-----------------",25,,2020-06-08 14:50:58,systemUnknown
88,JavaScript,Simple JavaScript class with private variables,"- private variables are available only via public setter and getter methods
	-----------------------------
	const Person = ({ name, age, job }) => {
		let _name = name;
		let _age = age;
		let _job = job;

		return {
			getName: () => _name,
			getAge: () => _age,
			getJob: () => _job,

			setName: name => _name = name,
			setAge: age => _age = age,
			setJob: job => _job = job
		};
	}

	const p = Person({ name: 'Maurice', age: 73, job: 'writer' });
	console.log(p.getName());
	p.setName(""Angelo"");
	console.log(p.getName());
	-----------------------------",50,,2020-06-08 17:33:26,systemUnknown
89,JavaScript,Use high-order JavaScript functions to separate concerns,"- instead of having parameter checking logic in the function itself, do this:
	------------------------------
	const divide = (x,y) => {
		return x/y;
	};

	const secondArgumentIsntZero = func => (...args) => {
		if(args[1] === 0) {
			return null;
		}
		return func(...args);
	}

	const divideSafe = secondArgumentIsntZero(divide);

	console.log(divideSafe(10,0));
	------------------------------",30,,2020-06-11 12:09:04,systemUnknown
90,ES6,Spread operator for objects and arrays and function parameters,"- note how updates overwrite properties
	------------------------
	// objects

	const person = {
		name: ""Paul Dirac"",
		age: 40,
		hairColor: 'brown'
	};

	const careerData = {
		title: 'physicist',
		area: 'quantum theory'
	};

	const nationalityData = {
		country: 'Britain',
		workedIn: 'USA'
	};

	const updates = {
		hairColor: 'black'
	}

	const personWithCareerData = {
		...person,
		...careerData,
		country: nationalityData.country,
		...updates
	};

	console.log(personWithCareerData);

	// arrays

	const numbers = [1, 2, 3, 4, 5];
	const newNumbers = [
		0,
		...numbers,
		6, 7, 8
	]

	console.log(newNumbers);

	// functions
	const add = (x, y, z) => console.log(`${x} + ${y} + ${z} = ${x + y + z}`);
	add(1, 2, 3);
	const numbers = [6, 7, 8, 9, 10];
	add(...numbers);
	------------------------",50,,2020-06-11 17:44:11,systemUnknown
91,ES6,Use .map() to convert arrays to new arrays,"- note that you can send a predefined function, see tripled:
	--------------------------
	const numbers = [1, 2, 3, 4, 5];
	numbers.reverse();
	const doubled = numbers.map(x => x * 2);
	const tripleIt = x => x * 3;
	const tripled = numbers.map(tripleIt);

	console.log(numbers);
	console.log(doubled);
	console.log(tripled);

	const people = [
		{
			name: ""George Romanes"",
			country: ""Canada""
		},
		{
			name: ""Syngman Rhee"",
			country: ""South Korea""
		},
		{
			name: ""Harry Hopkins"",
			country: ""USA""
		}
	];

	const names = people.map(x => x.name);

	const extendedPeople = people.map(x => {
		const pieces = x.name.trim().split("" "");
		return {
			firstName: pieces[0],
			lastName: pieces[1],
			isCanadian: x.country === ""Canada""
		}
	});

	console.log(people);
	console.log(names);
	console.log(extendedPeople);
	--------------------------",70,,2020-06-12 14:14:15,systemUnknown
92,ES6,How to filter arrays,"- notice difference between `longNames` and `longNamedPeople`:
	-------------------------
	const numbers = [1, 2, 3, 5, 7, 45, 67, 88, 34, 65, 34, 23, 65, 23, 42, 22, 25];
	const evenNumbers = numbers.filter(x => x % 2 === 0);
	const oddNumbers = numbers.filter(x => x % 2 !== 0);

	console.log(numbers);
	console.log(evenNumbers);
	console.log(oddNumbers);

	const people = [
		{
			name: ""Petrarch"",
			died: 1374
		},
		{
			name: ""Vincent Martín y Soler"",
			died: 1806
		},
		{
			name: ""Henri Dunant"",
			died: 1910
		},
	];

	const modernPeople = people.filter( x => x.died > 1800);
	console.log(modernPeople);

	const minLength = len => x => x.length >= len;

	const longNames = people.map(x => x.name).filter(minLength(10));
	console.log(longNames);

	const longNamedPeople = people.filter( x => x.name.length >= 10);
	console.log(longNamedPeople);
	-------------------------",50,,2020-06-12 16:20:38,systemUnknown
